19│пер. Турундаевский 3-й
21│пер. Доронинский 4-й
22│пер. Турундаевский 4-й
30│пер. Аллейный
32│пер. Ананьинский
44│пер. Ботанический
47│пер. Верхний
50│пер. Внутренний
62│пер. Главный
64│пер. Говоровский 1-й
65│пер. Говоровский 2-й
66│пер. Говоровский 3-й
75│пер. Грязовецкий
78│пер. Движенческий
80│пер. Детский
83│пер. Долгий
90│пер. Ершовский
92│пер. Заболотный
94│пер. Завражский
99│пер. Западный
101│пер. Засодимский
103│пер. Застроечный
107│пер. Индивидуальный
109│пер. Индустриальный
110│пер. Июльский
119│пер. Кольцевой
122│пер. Конечный
128│пер. Крайний
131│пер. Кривой
147│пер. Линейный
149│пер. Локомотивный
153│пер. Архангельский М.
156│пер. Майский
160│пер. Маяковский
163│пер. Межевой
177│пер. Некрасовский
180│пер. Новый
183│пер. Овражный
184│пер. Огородный
189│пер. Ольховый
195│пер. Парковый
196│пер. Паровозный
197│пер. Гоголя
200│пер. Водников
201│пер. Пирогова
202│пер. Речников
208│пер. Планерный
212│пер. Полярный
214│пер. Поселковый
216│пер. Почтовый
224│пер. Производственный
230│пер. Прудный
231│пер. Прядильный
233│пер. Прямой
239│пер. Раздельный
246│пер. Рыбный
247│пер. Рыночный
254│пер. Слесарный
258│пер. Содемский
262│пер. Средний
264│пер. Станционный
267│пер. Судоремонтный
273│пер. Техникумовский
275│пер. Технический
277│пер. Тихий
278│пер. Ткацкий
280│пер. Топливный
281│пер. Тополевый
285│пер. Трудовой
286│пер. Тупиковый
290│пер. Узкий
293│пер. Февральский
294│пер. Флотский
309│пер. Шекснинский
310│пер. Школьный
319│пер. Янгосорский
323│пер. Клубный
329│пер. Центральный
335│пер. Железнодорожный
338│пер. Никольский
347│пер. Южный
349│пер. Карьерный
352│пер. Нагорный
353│пер. Октябрьский
363│пер. Дальний
374│пер. Южная роща
396│пер. Клубный
401│пер. Центральный
67│проезд. Говоровский
191│проезд. Осановский
350│проезд. Линейный
170│ш. Московское
179│ш. Новоархангельское
186│ш. Окружное
217│ш. Пошехонское
265│ш. Старое
346│ш. Белозерское
3│мкр. ГПЗ-23 1-й
272│мкр. Тепличный
229│пр-кт. Победы
257│пр-кт. Советский
174│наб. 6 Армии
368│наб. Пречистенская
130│пл. Кремлевская
209│пл. Бабушкина
282│пл. Торговая
343│пл. Чайковского
354│пл. Революции
355│пл. Свободы
34│км. Архангельская Линия 498
74│туп. Грузовой
140│туп. Ленинградский
115│линия. Кировская 600 км
141│линия. Ленинградская 595 км
143│линия. Ленинградская 592 км
168│линия. Московская 492 км
364│линия. Северная ж/д 515 км
358│ст. Рыбкино
372│пос. Флотский
